date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:28	134269/134269	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-marketing.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-marketing.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:30	3634/3634	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/signin.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/signin.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:33	22037/22037	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-signin.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-signin.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:35	4174/4174	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/sticky-footer.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/sticky-footer.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:42	117303/117303	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-marketing-narrow.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-marketing-narrow.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:44	15638/15638	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/carousel.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/carousel.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:51	30820/30820	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-sticky-footer.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-sticky-footer.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:52	1008/1008	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/responsive-illustrations.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/responsive-illustrations.png	(from http://getbootstrap.com/2.3.2/scaffolding.html)
10:20:53	209039/209039	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-fluid.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-fluid.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:55	136021/136021	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-justified-nav.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-justified-nav.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:21:04	49063/49063	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-03.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-03.jpg	(from http://getbootstrap.com/2.3.2/javascript.html)
10:21:04	81284/81284	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-02.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-02.jpg	(from http://getbootstrap.com/2.3.2/javascript.html)
10:21:06	12824/12824	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/less-logo-large.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/less-logo-large.png	(from http://getbootstrap.com/2.3.2/extend.html)
10:21:06	5798/5798	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/sticky-footer-navbar.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/sticky-footer-navbar.html	(from http://getbootstrap.com/2.3.2/examples/sticky-footer.html)
10:21:14	83303/83303	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/slide-01.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/slide-01.jpg	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
10:21:31	125346/125346	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-01.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/bootstrap-mdo-sfmoma-01.jpg	(from http://getbootstrap.com/2.3.2/javascript.html)
10:21:41	137070/137070	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/slide-02.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/slide-02.jpg	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
10:21:42	137378/137378	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/slide-03.jpg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/slide-03.jpg	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
10:21:54	339980/339980	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-carousel.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-carousel.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:22:14	55522/55522	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/browser-icon-chrome.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/browser-icon-chrome.png	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
10:22:24	175994/175994	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/browser-icon-firefox.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/browser-icon-firefox.png	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
10:22:38	209527/209527	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/browser-icon-safari.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/browser-icon-safari.png	(from http://getbootstrap.com/2.3.2/examples/carousel.html)
